Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 60.01      0.03     0.03       11     2.73     3.61  LaplacianOnGrid::GS_or_Jacobi(int, std::vector<double, std::allocator<double> >, std::vector<double, std::allocator<double> >&, mpiInfo&, int, int&)
 20.00      0.04     0.01  6625352     0.00     0.00  std::vector<double, std::allocator<double> >::operator[](unsigned long)
 20.00      0.05     0.01       11     0.91     0.92  LaplacianOnGrid::ParticlesOnMesh(particles&, mpiInfo&)
  0.00      0.05     0.00  2245996     0.00     0.00  std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > >::operator[](unsigned long)
  0.00      0.05     0.00  1967819     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned long)
  0.00      0.05     0.00  1797952     0.00     0.00  std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::operator[](unsigned long)
  0.00      0.05     0.00   223824     0.00     0.00  mpiInfo::pid(int, int)
  0.00      0.05     0.00    56833     0.00     0.00  std::vector<double, std::allocator<double> >::size() const
  0.00      0.05     0.00    14752     0.00     0.00  LaplacianOnGrid::pid(int, int)
  0.00      0.05     0.00     6038     0.00     0.00  std::vector<int, std::allocator<int> >::size() const
  0.00      0.05     0.00     3094     0.00     0.00  mpiInfo::ExchangeBoundaryInfo(std::vector<double, std::allocator<double> >&, std::vector<double, std::allocator<double> >&)
  0.00      0.05     0.00     1281     0.00     0.00  __gnu_cxx::new_allocator<double>::max_size() const
  0.00      0.05     0.00     1039     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_get_Tp_allocator()
  0.00      0.05     0.00     1027     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_get_Tp_allocator() const
  0.00      0.05     0.00     1027     0.00     0.00  double* std::__niter_base<double*>(double*)
  0.00      0.05     0.00     1016     0.00     0.00  std::vector<double, std::allocator<double> >::max_size() const
  0.00      0.05     0.00     1016     0.00     0.00  std::allocator_traits<std::allocator<double> >::max_size(std::allocator<double> const&)
  0.00      0.05     0.00      725     0.00     0.00  __gnu_cxx::new_allocator<int>::max_size() const
  0.00      0.05     0.00      603     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator()
  0.00      0.05     0.00      580     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator() const
  0.00      0.05     0.00      580     0.00     0.00  std::vector<int, std::allocator<int> >::max_size() const
  0.00      0.05     0.00      580     0.00     0.00  std::allocator_traits<std::allocator<int> >::max_size(std::allocator<int> const&)
  0.00      0.05     0.00      580     0.00     0.00  int* std::__niter_base<int*>(int*)
